time,lat,lon,mrt,utci,MRT_Celsius,UTCI_Celsius
2015-06-18 00:00:00,26.5,89.0,297.24902,300.43842,24.099019999999996,27.28842000000003
2015-06-18 00:00:00,26.5,89.25,297.38602,300.96646,24.236019999999996,27.816460000000006
2015-06-18 00:00:00,26.5,89.5,297.90024,301.65286,24.75024000000002,28.50286
2015-06-18 00:00:00,26.5,89.75,298.26657,300.9927,25.116570000000024,27.842700000000036
2015-06-18 00:00:00,26.5,90.0,298.7313,301.0741,25.5813,27.92410000000001
2015-06-18 00:00:00,26.25,85.5,298.2411,299.02817,25.09110000000004,25.87817000000001
2015-06-18 00:00:00,26.25,85.75,298.0622,298.81662,24.91220000000004,25.666620000000023
2015-06-18 00:00:00,26.25,86.0,298.0622,298.81662,24.91220000000004,25.666620000000023
2015-06-18 00:00:00,26.25,86.25,297.91623,298.64478,24.766230000000007,25.49478000000005
2015-06-18 00:00:00,26.25,86.5,297.40378,298.26572,24.253780000000006,25.11572000000001
2015-06-18 00:00:00,26.25,86.75,297.13992,298.0098,23.98992000000004,24.859800000000007
2015-06-18 00:00:00,26.25,87.0,296.96985,298.20218,23.81985000000003,25.05218000000002
2015-06-18 00:00:00,26.25,87.25,297.14932,298.6005,23.99932000000001,25.450500000000034
2015-06-18 00:00:00,26.25,87.5,297.527,299.08237,24.37700000000001,25.93237000000005
2015-06-18 00:00:00,26.25,87.75,297.8818,299.92523,24.73180000000002,26.775230000000022
2015-06-18 00:00:00,26.25,88.0,298.0236,300.8563,24.87360000000001,27.7063
2015-06-18 00:00:00,26.25,88.25,298.0236,300.8563,24.87360000000001,27.7063
2015-06-18 00:00:00,26.25,88.5,297.89066,301.29184,24.740660000000048,28.141840000000002
2015-06-18 00:00:00,26.25,88.75,297.76508,301.1751,24.615080000000034,28.02510000000001
2015-06-18 00:00:00,26.25,89.0,297.91794,300.89453,24.76794000000001,27.744529999999997
2015-06-18 00:00:00,26.25,89.25,298.2988,301.1243,25.14880000000005,27.974300000000028
2015-06-18 00:00:00,26.25,89.5,299.05243,301.8938,25.902430000000038,28.74380000000002
2015-06-18 00:00:00,26.25,89.75,299.7225,301.8623,26.572500000000048,28.712300000000027
2015-06-18 00:00:00,26.25,90.0,300.12082,302.30945,26.970820000000003,29.15945000000005
2015-06-18 00:00:00,26.0,85.5,297.97052,299.67065,24.820520000000045,26.520650000000046
2015-06-18 00:00:00,26.0,85.75,297.81702,299.31955,24.667020000000036,26.169550000000015
2015-06-18 00:00:00,26.0,86.0,297.81702,299.31955,24.667020000000036,26.169550000000015
2015-06-18 00:00:00,26.0,86.25,297.78125,298.94275,24.631250000000023,25.792750000000012
2015-06-18 00:00:00,26.0,86.5,297.7046,298.83588,24.55460000000005,25.685879999999997
2015-06-18 00:00:00,26.0,86.75,297.68555,298.59476,24.53555,25.44476000000003
2015-06-18 00:00:00,26.0,87.0,297.61194,298.49716,24.461940000000027,25.34716000000003
2015-06-18 00:00:00,26.0,87.25,297.7874,298.74744,24.637400000000014,25.597440000000006
2015-06-18 00:00:00,26.0,87.5,298.02982,299.24637,24.879819999999995,26.096370000000036
2015-06-18 00:00:00,26.0,87.75,298.1637,299.87543,25.01370000000003,26.725430000000017
2015-06-18 00:00:00,26.0,88.0,298.16553,300.4062,25.015530000000012,27.256200000000035
2015-06-18 00:00:00,26.0,88.25,298.16553,300.4062,25.015530000000012,27.256200000000035
2015-06-18 00:00:00,26.0,88.5,298.03003,300.572,24.880030000000033,27.422000000000025
2015-06-18 00:00:00,26.0,88.75,297.98108,300.6285,24.831080000000043,27.478499999999997
2015-06-18 00:00:00,26.0,89.0,298.30414,301.13324,25.15414000000004,27.983240000000023
2015-06-18 00:00:00,26.0,89.25,298.78854,301.6262,25.638540000000035,28.476200000000006
2015-06-18 00:00:00,26.0,89.5,299.30554,301.19333,26.15554000000003,28.043330000000026
2015-06-18 00:00:00,26.0,89.75,299.7462,301.0519,26.59620000000001,27.901900000000012
2015-06-18 00:00:00,26.0,90.0,300.16827,303.16928,27.01827000000003,30.019280000000037
2015-06-18 00:00:00,25.75,85.5,298.13968,300.13663,24.98968000000002,26.986630000000048
2015-06-18 00:00:00,25.75,85.75,298.09457,300.0546,24.94457,26.904600000000016
2015-06-18 00:00:00,25.75,86.0,298.09457,300.0546,24.94457,26.904600000000016
2015-06-18 00:00:00,25.75,86.25,298.4671,300.17566,25.31710000000004,27.025660000000016
2015-06-18 00:00:00,25.75,86.5,298.45142,299.9202,25.301420000000007,26.770200000000045
