time,lat,lon,mrt,utci
2019-04-01 00:00:00,24.75,85.5,289.0469,292.93106
2019-04-01 00:00:00,24.75,85.75,289.0408,292.728
2019-04-01 00:00:00,24.75,86.0,289.0408,292.728
2019-04-01 00:00:00,24.75,86.25,290.028,292.06436
2019-04-01 00:00:00,24.75,86.5,291.38837,291.46777
2019-04-01 00:00:00,24.75,86.75,292.73407,291.76654
2019-04-01 00:00:00,24.75,87.0,293.31027,291.47003
2019-04-01 00:00:00,24.75,87.25,293.19724,290.85007
2019-04-01 00:00:00,24.75,87.5,292.45004,290.8142
2019-04-01 00:00:00,24.75,87.75,291.61203,291.17975
2019-04-01 00:00:00,24.75,88.0,290.67987,291.30078
2019-04-01 00:00:00,24.75,88.25,290.67987,291.30078
2019-04-01 00:00:00,24.75,88.5,289.9826,291.10828
2019-04-01 00:00:00,24.75,88.75,290.2742,290.8445
2019-04-01 00:00:00,24.75,89.0,290.91934,290.60452
2019-04-01 00:00:00,24.75,89.25,291.5078,290.53128
2019-04-01 00:00:00,24.75,89.5,292.0565,290.32092
2019-04-01 00:00:00,24.75,89.75,292.6319,290.15463
2019-04-01 00:00:00,24.75,90.0,292.3212,290.62198
2019-04-01 00:00:00,24.5,85.5,287.81577,294.18652
2019-04-01 00:00:00,24.5,85.75,287.7576,293.26627
2019-04-01 00:00:00,24.5,86.0,287.7576,293.26627
2019-04-01 00:00:00,24.5,86.25,288.61716,292.0561
2019-04-01 00:00:00,24.5,86.5,289.9413,291.49588
2019-04-01 00:00:00,24.5,86.75,291.36227,291.7082
2019-04-01 00:00:00,24.5,87.0,292.49673,291.3676
2019-04-01 00:00:00,24.5,87.25,293.2721,290.9589
2019-04-01 00:00:00,24.5,87.5,293.2472,291.31516
2019-04-01 00:00:00,24.5,87.75,292.58255,291.92462
2019-04-01 00:00:00,24.5,88.0,291.7026,292.12808
2019-04-01 00:00:00,24.5,88.25,291.7026,292.12808
2019-04-01 00:00:00,24.5,88.5,290.95187,291.75815
2019-04-01 00:00:00,24.5,88.75,290.77426,291.17987
2019-04-01 00:00:00,24.5,89.0,291.16742,291.1829
2019-04-01 00:00:00,24.5,89.25,291.53165,291.3036
2019-04-01 00:00:00,24.5,89.5,292.0096,290.7842
2019-04-01 00:00:00,24.5,89.75,292.4345,289.8318
2019-04-01 00:00:00,24.5,90.0,291.72787,290.42535
2019-04-01 00:00:00,24.25,85.5,286.0782,293.5214
2019-04-01 00:00:00,24.25,85.75,286.02835,292.53812
2019-04-01 00:00:00,24.25,86.0,286.02835,292.53812
2019-04-01 00:00:00,24.25,86.25,287.21423,292.15378
2019-04-01 00:00:00,24.25,86.5,288.42862,291.96716
2019-04-01 00:00:00,24.25,86.75,289.8709,291.72488
2019-04-01 00:00:00,24.25,87.0,291.72394,291.30203
2019-04-01 00:00:00,24.25,87.25,293.5769,291.22162
2019-04-01 00:00:00,24.25,87.5,294.3163,291.65234
2019-04-01 00:00:00,24.25,87.75,293.79077,291.71628
2019-04-01 00:00:00,24.25,88.0,292.71234,290.8855
2019-04-01 00:00:00,24.25,88.25,292.71234,290.8855
2019-04-01 00:00:00,24.25,88.5,291.87863,289.7997
2019-04-01 00:00:00,24.25,88.75,291.5849,289.51627
2019-04-01 00:00:00,24.25,89.0,291.514,290.2431
2019-04-01 00:00:00,24.25,89.25,291.69864,290.83203
2019-04-01 00:00:00,24.25,89.5,292.06686,290.95288
2019-04-01 00:00:00,24.25,89.75,292.39005,290.6838
2019-04-01 00:00:00,24.25,90.0,291.29834,290.98187
2019-04-01 00:00:00,24.0,85.5,285.09848,289.17056
2019-04-01 00:00:00,24.0,85.75,285.58432,293.0382
2019-04-01 00:00:00,24.0,86.0,285.58432,293.0382
2019-04-01 00:00:00,24.0,86.25,286.5483,293.17667
2019-04-01 00:00:00,24.0,86.5,287.7202,292.02264
2019-04-01 00:00:00,24.0,86.75,288.94202,291.55637
2019-04-01 00:00:00,24.0,87.0,290.76715,291.31857
2019-04-01 00:00:00,24.0,87.25,292.7107,291.64047
2019-04-01 00:00:00,24.0,87.5,293.96588,292.40512
2019-04-01 00:00:00,24.0,87.75,294.19818,292.57855
2019-04-01 00:00:00,24.0,88.0,293.76877,291.82437
2019-04-01 00:00:00,24.0,88.25,293.76877,291.82437
2019-04-01 00:00:00,24.0,88.5,293.25772,291.00018
2019-04-01 00:00:00,24.0,88.75,293.0215,290.89993
2019-04-01 00:00:00,24.0,89.0,293.09915,291.0122
2019-04-01 00:00:00,24.0,89.25,293.1381,290.12488
2019-04-01 00:00:00,24.0,89.5,293.11884,289.3866
2019-04-01 00:00:00,24.0,89.75,293.40375,289.14502
2019-04-01 00:00:00,24.0,90.0,292.19208,289.28708
2019-04-01 00:00:00,23.75,85.5,285.8343,290.5997
2019-04-01 00:00:00,23.75,85.75,286.42706,291.40173
2019-04-01 00:00:00,23.75,86.0,286.42706,291.40173
2019-04-01 00:00:00,23.75,86.25,286.59558,291.73407
2019-04-01 00:00:00,23.75,86.5,287.5791,291.65073
2019-04-01 00:00:00,23.75,86.75,288.6083,292.42868
2019-04-01 00:00:00,23.75,87.0,289.8651,292.89026
2019-04-01 00:00:00,23.75,87.25,291.37967,293.63113
2019-04-01 00:00:00,23.75,87.5,292.909,294.9353
2019-04-01 00:00:00,23.75,87.75,294.26358,296.29684
2019-04-01 00:00:00,23.75,88.0,295.3812,297.05844
2019-04-01 00:00:00,23.75,88.25,295.3812,297.05844
2019-04-01 00:00:00,23.75,88.5,296.0737,297.23853
2019-04-01 00:00:00,23.75,88.75,296.28732,297.0169
2019-04-01 00:00:00,23.75,89.0,296.28806,295.9933
2019-04-01 00:00:00,23.75,89.25,295.95844,294.46777
2019-04-01 00:00:00,23.75,89.5,295.4852,292.7668
2019-04-01 00:00:00,23.75,89.75,295.2381,291.41727
2019-04-01 00:00:00,23.75,90.0,295.58057,291.35168
2019-04-01 00:00:00,23.5,85.5,285.80032,290.17563
2019-04-01 00:00:00,23.5,85.75,286.43784,290.3518
2019-04-01 00:00:00,23.5,86.0,286.43784,290.3518
2019-04-01 00:00:00,23.5,86.25,286.57474,290.0163
2019-04-01 00:00:00,23.5,86.5,287.08246,291.35376
2019-04-01 00:00:00,23.5,86.75,287.7355,291.97937
2019-04-01 00:00:00,23.5,87.0,288.44003,292.73886
2019-04-01 00:00:00,23.5,87.25,289.65604,294.71338
2019-04-01 00:00:00,23.5,87.5,291.2619,296.59848
2019-04-01 00:00:00,23.5,87.75,293.2292,298.36926
2019-04-01 00:00:00,23.5,88.0,295.32697,300.08737
2019-04-01 00:00:00,23.5,88.25,295.32697,300.08737
2019-04-01 00:00:00,23.5,88.5,296.9998,301.25287
2019-04-01 00:00:00,23.5,88.75,298.0416,301.87076
2019-04-01 00:00:00,23.5,89.0,298.5467,301.8986
2019-04-01 00:00:00,23.5,89.25,298.40933,301.34818
2019-04-01 00:00:00,23.5,89.5,297.78107,298.9946
2019-04-01 00:00:00,23.5,89.75,296.96286,295.94623
2019-04-01 00:00:00,23.5,90.0,296.82022,295.33777
2019-04-01 00:00:00,23.25,85.5,286.7903,290.8788
2019-04-01 00:00:00,23.25,85.75,286.92767,290.7894
2019-04-01 00:00:00,23.25,86.0,286.92767,290.7894
2019-04-01 00:00:00,23.25,86.25,287.39142,290.76718
2019-04-01 00:00:00,23.25,86.5,287.88483,291.7669
2019-04-01 00:00:00,23.25,86.75,288.3982,292.18387
2019-04-01 00:00:00,23.25,87.0,288.80026,293.14395
2019-04-01 00:00:00,23.25,87.25,289.4846,296.04166
2019-04-01 00:00:00,23.25,87.5,290.61252,297.46732
2019-04-01 00:00:00,23.25,87.75,292.38052,298.15048
2019-04-01 00:00:00,23.25,88.0,294.3758,299.5054
2019-04-01 00:00:00,23.25,88.25,294.3758,299.5054
2019-04-01 00:00:00,23.25,88.5,296.05225,300.47046
2019-04-01 00:00:00,23.25,88.75,297.43195,300.82123
2019-04-01 00:00:00,23.25,89.0,298.47205,300.95413
2019-04-01 00:00:00,23.25,89.25,298.9604,300.87738
2019-04-01 00:00:00,23.25,89.5,298.5138,300.73312
2019-04-01 00:00:00,23.25,89.75,297.46176,300.4362
2019-04-01 00:00:00,23.25,90.0,296.47046,300.14508
2019-04-01 00:00:00,23.0,85.5,287.30234,291.39758
2019-04-01 00:00:00,23.0,85.75,287.7987,291.9766
2019-04-01 00:00:00,23.0,86.0,287.7987,291.9766
2019-04-01 00:00:00,23.0,86.25,288.31186,292.5409
2019-04-01 00:00:00,23.0,86.5,289.25024,292.96066
2019-04-01 00:00:00,23.0,86.75,289.3782,293.21136
2019-04-01 00:00:00,23.0,87.0,289.4012,294.0076
2019-04-01 00:00:00,23.0,87.25,290.0219,295.36475
2019-04-01 00:00:00,23.0,87.5,290.88644,296.3405
2019-04-01 00:00:00,23.0,87.75,292.0076,297.3292
2019-04-01 00:00:00,23.0,88.0,293.37054,298.44833
2019-04-01 00:00:00,23.0,88.25,293.37054,298.44833
2019-04-01 00:00:00,23.0,88.5,294.75916,299.1623
2019-04-01 00:00:00,23.0,88.75,296.22797,299.62994
2019-04-01 00:00:00,23.0,89.0,297.67352,300.0411
2019-04-01 00:00:00,23.0,89.25,298.5753,300.18582
2019-04-01 00:00:00,23.0,89.5,298.21796,300.0439
2019-04-01 00:00:00,23.0,89.75,296.8626,299.5197
2019-04-01 00:00:00,23.0,90.0,295.35223,298.80402
2019-04-01 00:00:00,22.75,85.5,287.75482,292.57632
2019-04-01 00:00:00,22.75,85.75,288.102,293.0696
2019-04-01 00:00:00,22.75,86.0,288.102,293.0696
2019-04-01 00:00:00,22.75,86.25,288.38235,294.11102
2019-04-01 00:00:00,22.75,86.5,289.06982,294.386
2019-04-01 00:00:00,22.75,86.75,289.38904,294.3193
2019-04-01 00:00:00,22.75,87.0,289.95956,295.392
2019-04-01 00:00:00,22.75,87.25,290.7124,296.4366
2019-04-01 00:00:00,22.75,87.5,291.50552,297.3908
2019-04-01 00:00:00,22.75,87.75,292.47327,298.48755
2019-04-01 00:00:00,22.75,88.0,293.57907,299.0427
2019-04-01 00:00:00,22.75,88.25,293.57907,299.0427
2019-04-01 00:00:00,22.75,88.5,294.7639,299.3193
2019-04-01 00:00:00,22.75,88.75,296.05908,299.59613
2019-04-01 00:00:00,22.75,89.0,297.2321,299.71768
2019-04-01 00:00:00,22.75,89.25,297.66888,299.64752
2019-04-01 00:00:00,22.75,89.5,297.03864,299.37857
2019-04-01 00:00:00,22.75,89.75,296.0026,299.0458
2019-04-01 00:00:00,22.75,90.0,295.7099,298.9035
2019-04-01 00:00:00,22.5,85.5,287.75482,292.57632
2019-04-01 00:00:00,22.5,85.75,288.102,293.0696
2019-04-01 00:00:00,22.5,86.0,288.102,293.0696
2019-04-01 00:00:00,22.5,86.25,288.38235,294.11102
2019-04-01 00:00:00,22.5,86.5,289.06982,294.386
2019-04-01 00:00:00,22.5,86.75,289.38904,294.3193
2019-04-01 00:00:00,22.5,87.0,289.95956,295.392
